Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
getRecentPosts,16,1858,545,14607,3303.70,0.000%,.85694,3.67,0.21,4385.1
getPostsByUser,16,251,73,429,109.08,6.250%,.90360,11.75,0.22,13319.7
getDiariesByFriends,16,536,75,1048,293.17,6.250%,.90350,0.63,0.24,718.1
getDiariesByUser,16,415,115,962,236.66,6.250%,.95131,0.67,0.25,718.1
updatePost,16,190,92,475,123.72,6.250%,.96665,0.98,0.53,1033.8
createPost,16,1042,143,13234,3149.30,0.000%,.96583,1.00,0.36,1056.8
deletePost,16,221,61,414,109.42,6.250%,.95860,0.67,0.23,720.9
updateUser,16,447,214,1567,331.66,0.000%,.94406,0.99,0.29,1075.0
getUserById,16,213,135,339,70.38,0.000%,.94837,1.00,0.23,1075.0
getUserByName,16,216,109,423,99.28,0.000%,.93305,0.98,0.22,1075.0
removeVote,16,107,66,131,19.29,100.000%,.93968,0.67,0.29,735.2
addVote,16,386,65,700,177.08,6.250%,.93376,0.77,0.33,843.7
getVote,16,174,80,589,119.72,0.000%,.93611,0.78,0.27,848.0
getVotesByPid,16,187,76,349,97.89,0.000%,.93858,0.79,0.23,864.0
getFriendByStatus,16,244,71,410,106.76,6.250%,.94764,1.05,0.24,1134.5
getFriendship,16,197,63,419,111.68,6.250%,.95380,0.75,0.25,810.6
deleteFriendship,16,281,108,635,161.78,0.000%,.96113,0.67,0.72,716.0
sendFriendRequest,16,231,62,513,114.80,56.250%,.96560,0.77,0.29,813.9
updateFriendRequest,16,167,81,401,95.55,43.750%,.96368,0.79,0.31,840.6
updateComment,16,181,65,363,96.50,6.250%,.96368,0.95,0.51,1012.2
deleteComment,16,100,65,150,30.58,100.000%,.96333,0.69,0.47,732.1
createComment,16,186,58,409,112.88,31.250%,.96287,0.90,0.34,953.6
getCommentById,16,181,60,380,92.12,18.750%,.95906,0.92,0.24,977.9
getCommentsByPid,16,2162,65,3897,1347.19,6.250%,.78958,12.50,0.20,16212.6
getCommentsByUid,16,259,59,984,254.63,37.500%,.85497,14.63,0.21,17527.6
GetAwardById,16,253,60,1197,274.94,31.250%,.84290,0.74,0.20,904.8
getAwardsByUser,16,171,61,866,186.00,31.250%,.85571,2.56,0.21,3067.4
getNewAwardsByUser,16,6097,63,12298,4930.52,25.000%,.57176,0.42,0.14,746.5
getAwardsByPost,16,233,65,923,195.07,12.500%,.59820,1.00,0.15,1710.9
TOTAL,464,593,58,14607,1717.51,18.966%,10.18035,26.27,3.21,2642.4
